name,type,equipment,frequency,day_of_week,fortnite,month,day_of_month,start_date,end_date,assigned_to,start_hour,end_hour,description
"Calibration of Analyzers (Non-Medical, Non Safety)",Schedule,"34708 - ANALYZER, AE1",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0810-09
Impulse and sample tubes leak check and correctoin,Schedule,"34709 - ANALYZER, AE11",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
OSS: Calibration of CSS Analyzers,Schedule,"34709 - ANALYZER, AE11",Weekly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0820-09
REPLACEMENT OF SCRUBBER FOR SERVOMEX CO2 ANALYZER,Schedule,"34710 - ANALYZER, AE12A",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-074-09
Impulse and sample tubes leak check and correctoin,Schedule,"34710 - ANALYZER, AE12A",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
OSS: Calibration of CSS Analyzers,Schedule,"34710 - ANALYZER, AE12A",Fortnight,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0820-09
Impulse and sample tubes leak check and correctoin,Schedule,"34711 - ANALYZER, AE12B",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
REPLACEMENT OF SCRUBBER FOR SERVOMEX CO2 ANALYZER,Schedule,"34711 - ANALYZER, AE12B",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-074-09
OSS: Calibration of CSS Analyzers,Schedule,"34712 - ANALYZER, AE14A",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0820-09
Impulse and sample tubes leak check and correctoin,Schedule,"34712 - ANALYZER, AE14A",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
OSS: Calibration of CSS Analyzers,Schedule,"34713 - ANALYZER, AE14A PAM",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0820-09
Impulse and sample tubes leak check and correctoin,Schedule,"34713 - ANALYZER, AE14A PAM",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
Impulse and sample tubes leak check and correctoin,Schedule,"34714 - ANALYZER, AE14B",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
OSS: Calibration of CSS Analyzers,Schedule,"34714 - ANALYZER, AE14B",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0820-09
Electrolyte Replacement,Schedule,"34715 - ANALYZER, AE16",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND000-017-09
Impulse and sample tubes leak check and correctoin,Schedule,"34715 - ANALYZER, AE16",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
"Calibration of Analyzers (Non-Medical, Non Safety)",Schedule,"34715 - ANALYZER, AE16",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0810-09
Impulse and sample tubes leak check and correctoin,Schedule,"34716 - ANALYZER, AE2",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
Electrolyte Replacement,Schedule,"34716 - ANALYZER, AE2",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND000-017-09
"Calibration of Analyzers (Non-Medical, Non Safety)",Schedule,"34716 - ANALYZER, AE2",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0810-09
Impulse and sample tubes leak check and correctoin,Schedule,"34717 - ANALYZER, AE3",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
"Calibration of Analyzers (Non-Medical, Non Safety)",Schedule,"34717 - ANALYZER, AE3",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0810-09
Impulse and sample tubes leak check and correctoin,Schedule,"34718 - ANALYZER, AE4",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
"Calibration of Analyzers (Non-Medical, Non Safety)",Schedule,"34718 - ANALYZER, AE4",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0810-09
Electrolyte Replacement,Schedule,"34719 - ANALYZER, AE7",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND000-017-09
Impulse and sample tubes leak check and correctoin,Schedule,"34719 - ANALYZER, AE7",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
"Calibration of Analyzers (Non-Medical, Non Safety)",Schedule,"34719 - ANALYZER, AE7",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0810-09
Impulse and sample tubes leak check and correctoin,Schedule,"34720 - ANALYZER, AE8",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-050-09
"Calibration of Analyzers (Non-Medical, Non Safety)",Schedule,"34720 - ANALYZER, AE8",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0810-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34721 - PUMP/MOTOR, AR PROCESS PUMP",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Major Maintenance",Schedule,"34721 - PUMP/MOTOR, AR PROCESS PUMP",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
STROKE CHECK OF CB CONTROL VALVES BEFORE OUTAGE TO TAKE ACTIONS DURING OUTAGE,Schedule,"34723 - COLDBOX, T875",Annually,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,IND014-121-09
Coldbox/Liquifier/Tank - CHECK CASING PURGE SYSTEMS,Schedule,"34723 - COLDBOX, T875",Monthly,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STD-0236-09
Plant Thaw Requirements (Prepurified - Finned BAHX),Schedule,"34723 - COLDBOX, T875",Annually,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STD-0227-09
Coldbox - MAIN CONDENSER COSMODYNE SAMPLE,Schedule,"34723 - COLDBOX, T875",Annually,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STD-0169-09
Isolation Circuit Test for Liquid Make,Schedule,"34723 - COLDBOX, T875",Annually,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STD-0212-09
PHX Vent valve inspection for passing,Schedule,"34723 - COLDBOX, T875",Half yearly,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,IND000-005-09
Greasing of cryogenic manual valve stem with O2 compatible grease,Schedule,"34723 - COLDBOX, T875",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-006-09
PT601 Calibration (SA-39-7 Rev-2 as per MOC no.-IND-014/2017/0002,Schedule,"34723 - COLDBOX, T875",Annually,5,3,5,29,2020-05-28,,INDUMEKAV1,14:30:07,23:30:07,IND014-132-09
Column Valves and Casing - Visual Inspection,Schedule,"34723 - COLDBOX, T875",Annually,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STD-0255-09
"Perlite top up in cold box, pump & turbine ducts",Schedule,"34723 - COLDBOX, T875",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-119-09
OSS: SA-39-1 - High Flux Oxygen Pool Boiler Energy Release Prevention,Schedule,"34723 - COLDBOX, T875",Annually,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STD-0223-09
Vibration Shutdown (Earthquake) Switch - Functional Test,Schedule,"34724 - VAPORIZOR, FADV",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0003-09
Drive Belt Inspection,Schedule,"34724 - VAPORIZOR, FADV",Quarterly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0271-09
Forced Air Drain Vaporizer - Annual Inspection,Schedule,"34724 - VAPORIZOR, FADV",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0160-09
Upper Column Vent Valve Functionality Test,Schedule,"34725 - INSTRUMENT, COLDBOX INSTRUMENTATION",Quarterly,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,IND000-013-09
"Motors, Random Wound – Major Maintenance",Schedule,"34726 - PUMP/MOTOR,#1 O2 PROCESS PUMP",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34726 - PUMP/MOTOR,#1 O2 PROCESS PUMP",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34728 - PUMP/MOTOR,#2 O2 PROCESS PUMP",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Major Maintenance",Schedule,"34728 - PUMP/MOTOR,#2 O2 PROCESS PUMP",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Check oil supply temp., if > 48 deg C, clean oil cooler",Schedule,"34731 - LUBE, TURBINE LOWER COLUMN",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-103-09
Main Oil Pump Coupling Inspection,Schedule,"34731 - LUBE, TURBINE LOWER COLUMN",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0006-09
Perform overspeed Trip test,Schedule,"34734 - TURBINE,  LOWER COLUMN",Annually,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,IND014-0137-09
Lube Oil Accumulator Test,Schedule,"34734 - TURBINE,  LOWER COLUMN",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0235-09
Turbine - Trip Valve Inspection,Schedule,"34734 - TURBINE,  LOWER COLUMN",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0034-09
Discharge Check Valve Inspection,Schedule,"34734 - TURBINE,  LOWER COLUMN",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0007-09
Auxiliary Oil Pump Coupling Inspection,Schedule,"34734 - TURBINE,  LOWER COLUMN",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0027-09
KMAC - LTPP Probe Replacement,Schedule,"34735 - KMAC, INSTRUMENT GAS",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0881-09
KMAC - Visual Inspection (Probe and Main Regulator),Schedule,"34735 - KMAC, INSTRUMENT GAS",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0882-09
KMAC - Visual Inspection (Probe and Main Regulator),Schedule,"34736 - KMAC, INSTRUMENT GAS",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0882-09
KMAC - LTPP Probe Replacement,Schedule,"34736 - KMAC, INSTRUMENT GAS",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0881-09
Water Pumps inspection and overhauling,Schedule,"34739 - PUMP/MOTOR, MAKE UP WATER #1",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-008-09
Water Pumps inspection and overhauling,Schedule,"34740 - PUMP/MOTOR, MAKE UP WATER #2",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-008-09
CONTROL SYSTEM CABINET PERIODIC MAINTENANCE,Schedule,"36115 - INSTRUMENT,PANEL IN  CONTROL ROOM, DRIOX & ANAL ROOM",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-040-09
PM Program and Plant Equipment List Review,Schedule,"IND014 - TATA, INDIA - IND014",Annually,5,3,5,29,2020-05-28,,*PM-TATA,14:30:07,23:30:07,STD-0301-09
Cooling Tower Water Pressure Transmitter impulse tube flushing.,Schedule,IND014-CWS - COOLING WATER,Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND000-014-09
Pressure Relief Valve (PRV) Maintenance Review Process,Schedule,IND014-GENL - GENERAL,Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0004-09
Monthly Vibration Analysis Route,Schedule,IND014-GENL ROUTE - .,Monthly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0009A-09
Preservation of critical equipment spares,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-016-09
FUNCTIONAL CHECK OF CATHODIC PROTECTION SYSTEM FOR UG PIPING,Schedule,IND014-GENL ROUTE - .,Monthly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-014-09
FORTNIGHTLY VIBRATION DATA COLLECTION FOR THREE COOLING TOWER PUMPS & MOTORS,Schedule,IND014-GENL ROUTE - .,Fortnight,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-097-09
Lubrication Oil Analysis Route,Schedule,IND014-GENL ROUTE - .,Quarterly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0008-09
Process computers physical cleaning to remove accumulated dust,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-112-09
INSPECTION OF ABOVE GROUND THERMALLY INSULATED PIPING FOR CORROSION,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-070-09
INSTRUMENTS CALIBRATION,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-062-09
ANNUAL MAINTENANCE OF EMERGENCY SIREN,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-064-09
INSPECTION OF LIGHTENING ARRESTORS,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-066-09
"EMERGENCY EQUIPMENT CHECKS OF ELCB'S, EXIT LAMPS AND EMERGENCY LIGHTS",Schedule,IND014-GENL ROUTE - .,Monthly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-089-09
Moisture ingress prevention in JBs & Instruments,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-108-09
ANNUAL  CHECKING OF ELECTRICAL METERING& ENERGY BALANCE,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-057-09
Inspection of coldbox & appendages to determine frosting on liquid valves,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-098-09
ACS ASSESSMENT,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-102-09
HALF YEARLY INVENTORY CHECK ON INST SPARES AND CONSUMABLES,Schedule,IND014-GENL ROUTE - .,Half yearly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-046-09
Pest control in place for all PLC panels and ensure sealing intact,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-109-09
MONSOON PROTECTION -EFFECTIVE SEALING INSPECTION IN ELEC  EQUIPMENTS,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-049-09
REPLACEMENT OF RUPTURE DISCS ON ALL COOLING WATER SIDE LINES OF HEAT EXCHANGERS,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-100-09
Infrared Thermographic Analysis Route,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0016-09
CHECK PANEL HOLES FOR RODENT ENTRY,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-035-09
"CHECKING OF WINDSOCK FIXTURES, FIXING ARRANGEMENTS  AND VERTICAL POSTS",Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-091-09
METERING SYSTEM CHECKING AND CALIBRATION,Schedule,IND014-GENL ROUTE - .,Half yearly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-129-09
PLANT LIGHTING & POWER DISTRIBUTION BOARD INSPECTION,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-047-09
Varnish Potential Analysis Route,Schedule,IND014-GENL ROUTE - .,Quarterly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-114-09
Backup System Unit Inspection,Schedule,IND014-GENL ROUTE - .,Monthly,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STDSPO-0221-09
HALF YEARLY INVENTORY CHECK ON ELEC SPARES AND CONSUMABLES,Schedule,IND014-GENL ROUTE - .,Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-045-09
HALF YEARLY INVENTORY CHECK ON MECH SPARES AND CONSUMABLES,Schedule,IND014-GENL ROUTE - .,Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-044-09
"CALIBRATION OF MULTI METERS, CLAMP METERS,MEGGER",Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-063-09
INSPECT THE EQPT AND TAKE A SET OF PARAMETERS,Schedule,IND014-GENL ROUTE - .,Monthly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-018-09
"NUMERICAL RELAYS - CHECK STORAGE, SETTINGS AND POWER UP TO CHARGE CAPACITORS",Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,IND014-088-09
PRESERVATION OF CRITICAL EQUIPMENT SPARES,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-094-09
Validate all AC temperatures in PLC panels are set to prevent condensation,Schedule,IND014-GENL ROUTE - .,Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,IND014-111-09
ACMS - REVIEW & UPDATE EMERGENCY TELEPHONE NUMBERS/CONTACT DETAILS,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Half yearly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,ACMS-7008-09
ACMS - Electrical Gloves,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-1064-09
ACMS - Electrical Procedures,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-1009-09
ACMS - ELECTRICAL PLUG STRIPS WITH INTEGRATED SURGE PROTECTORS,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-1094-09
Inspection & maintenance of fire sand buckets,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Quarterly,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,ACMS-7034-09
ACMS - SUBMIT MONTHLY WATER CONSUMPTION REPORT TO PCB FOR WATER CESS,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Monthly,5,3,5,29,2020-05-28,,*PM-TATA,14:30:07,23:30:07,IND014ACMS-5016-09
FACILITY FIRE PROTECTION SYSTEM CHECK (Using checklist),Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Monthly,5,3,5,29,2020-05-28,,*PM-TATA,14:30:07,23:30:07,ACMS-7036-09
ACMS - EMERGENCY SIREN SYSTEM CHECKING,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Monthly,5,3,5,29,2020-05-28,,*SC-TATA,14:30:07,23:30:07,IND014ACMS-5017-09
ACMS - Flame Retardant Clothing ( FRC ),Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-1036-09
ACMS - PERFORM EXTENSION CORD INSPECTION,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-7014-09
ACMS - Operational Safety - Electrical Systems,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-3005-09
ACMS - ELECTRICAL BOX LABELLING,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-3019-09
ACMS - Fire Extinguisher Hydrostatic Test (CO2),Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*PM-TATA,14:30:07,23:30:07,ACMS-1016A-09
ACMS - Refrigerant Management System,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-2038-09
ACMS - Annual Analyzer's Calibration Review,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,ACMS-5001-09
ACMS - OPERATIONAL SAFETY  - CYLINDER STORAGE AND HANDLING,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,ACMS-3021-09
ACMS - Vehicle Safety Program,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*SC-TATA,14:30:07,23:30:07,ACMS-1089-09
ACMS - INSPECT SMOKE DETECTORS & MANUAL CALL POINTS.,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Quarterly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,ACMS-7009-09
ACMS - REFERENCE TABLES UPDATION ,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Half yearly,5,3,5,29,2020-05-28,,*PM-TATA,14:30:07,23:30:07,ACMS-7038-09
ACMS - Drinking Water Backflow Preventor Inspection,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,ACMS-2005-09
ACMS - Operational Safety - Instrumentation,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,ACMS-3009-09
ACMS - Operational Safety - Cryogenic Storage / Backup Systems And Pipelines,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,ACMS-3004-09
ACMS - Electrical Grounding,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-1065-09
ACMS - Cylinder Storage And Handling,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Quarterly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,ACMS-1008-09
ACMS - Fire Extinguisher Inspection,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Monthly,5,3,5,29,2020-05-28,,*SC-TATA,14:30:07,23:30:07,ACMS-1017-09
ACMS - Portable Electric Tools,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-1043-09
ACMS - In-Plant Vehicles,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*PM-TATA,14:30:07,23:30:07,ACMS-1025-09
ACMS - Electrical Qualified Personnel,Schedule,"IND014-GENL-ACMS - ACMS - TATA 1, INDIA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-1010-09
OSS: Functional Testing of CSS Loops,Schedule,"IND014-GENL-CSS-SA-39-1.AR.CON - INSTRUMENTS, CSS: SA-39-1 - AR. CONDENSER ENERGY REL. PREVENTION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0296-09
OSS: Functional Testing of CSS Loops,Schedule,"IND014-GENL-CSS-SA-39-1.MC - INSTRUMENTS, CSS: SA-39-1 - MAIN. CONDENSER ENERGY REL. PREVENTION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0296-09
OSS: Functional Testing of CSS Loops,Schedule,"IND014-GENL-CSS-SA-39-10 - INSTRUMENTS, CSS: SA-39-10 -ANALYSER FUEL GAS FLOW LIMITER",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0296-09
OSS: Functional Testing of CSS Loops,Schedule,"IND014-GENL-CSS-SA-39-11 - INSTRUMENTS, CSS: SA-39-11-PET/AREA ISOLATION DEVICES",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0296-09
OSS: Functional Testing of CSS Loops,Schedule,"IND014-GENL-CSS-SA-39-12 - INSTRUMENTS, CSS: SA-39-12-CR SAFE O2 BREATHING ATM.",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0296-09
OSS: Functional Testing of CSS Loops,Schedule,"IND014-GENL-CSS-SA-39-15 - INSTRUMENTS, CSS: SA-39-15-PACKED COLUMN ENERGY REL. PREVENTION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0296-09
OSS: Functional Testing of CSS Loops,Schedule,"IND014-GENL-CSS-SA-39-18.O2PP1 - INSTRUMENTS, CSS: SA-39-18-PRODUCT BOILER O2 PUMP.1 ENERGY REL. PREVENTION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0296-09
